epoch,train_loss,val_loss
1,4.6301,2.73401
2,1.40805,0.725711
3,1.36097,1.15756
4,2.54974,1.93443
5,1.79275,10.1633
6,3.96944,2.16287
7,1.00647,0.394327
8,0.469825,4.37141
9,1.92245,2.74737
10,1.21358,3.05991
11,2.39959,5.26013
12,1.08355,0.784883
13,8.44392,11.9826
14,4.24438,2.08075
15,1.05711,2.58547
16,2.05677,10.3903
17,4.39725,0.810876
18,0.929544,0.839643
19,0.236019,0.195763
20,1.29701,0.528345
21,1.18289,1.00062
22,1.12075,5.25936
23,1.77219,1.18594
24,1.31897,1.55998
25,1.9296,15.5201
26,11.4697,8.83333
27,2.68163,0.250341
28,2.22415,4.82784
29,0.732436,0.1876
30,1.16971,8.45672
31,6.51683,3.55936
32,1.18975,0.44283
33,0.318307,0.544401
34,0.634412,0.542784
35,0.386397,0.339453
36,0.670235,0.765116
37,3.15361,6.05965
38,2.00037,0.723686
39,0.818632,2.94822
40,1.08411,0.718206
41,0.205234,0.947956
42,0.346221,0.442965
43,0.828632,0.619984
44,0.397661,0.6083
45,0.686068,2.17646
46,0.854643,1.29489
47,0.580691,4.37456
48,2.06134,0.716634
49,1.9376,0.425803
50,0.627551,0.409239
51,1.06299,6.9893
52,2.56602,2.23606
53,1.03495,0.272443
54,0.36632,0.309153
55,0.759484,0.491989
56,1.84993,0.598402
57,3.13815,1.45854
58,0.45828,0.276383
59,0.380942,0.866204
60,0.371831,0.133798
61,0.278184,0.282332
62,2.3553,2.77869
63,0.759132,0.725974
64,0.308404,0.288776
65,0.244436,0.50194
66,0.272728,0.129052
67,2.25148,7.55502
68,2.87274,0.371458
69,0.579203,0.573244
70,0.234702,0.271248
71,0.439605,0.629826
72,0.489163,0.194142
73,0.459135,0.275632
74,0.62155,1.20402
75,0.42797,0.375246
76,0.194618,0.208625
77,0.9347,0.319635
78,0.491664,0.418033
79,0.441716,1.71884
80,0.475769,0.80144
81,2.00668,5.51697
82,1.57053,0.482741
83,0.37786,0.622391
84,0.743628,0.341199
85,0.320484,0.313558
86,0.327581,0.728867
87,0.712729,1.29064
88,0.596644,0.3673
89,0.460618,0.85808
90,0.310154,0.599451
91,0.695296,0.48366
92,0.461348,0.247743
93,2.59767,1.39839
94,1.07911,3.38785
95,1.91382,3.25749
96,1.02241,0.414544
97,1.53709,1.12245
98,0.295953,0.533179
99,0.404376,0.891905
100,0.762879,0.531901
